ID	Type	x	y	z
377	1	7.000000	-6.000000	0.000000
378	1	7.000000	-5.000000	0.000000
379	1	7.000000	-4.000000	0.000000
380	1	8.000000	-6.000000	0.000000
381	1	8.000000	-5.000000	0.000000
382	1	8.000000	-4.000000	0.000000
383	1	9.000000	-6.000000	0.000000
384	1	9.000000	-5.000000	0.000000
385	1	9.000000	-4.000000	0.000000
386	1	10.000000	-6.000000	0.000000
387	1	10.000000	-5.000000	0.000000
388	1	10.000000	-4.000000	0.000000
407	1	-10.000000	-3.000000	0.000000
408	1	-10.000000	-2.000000	0.000000
409	1	-10.000000	-1.000000	0.000000
410	1	-10.000000	0.000000	0.000000
411	1	-9.000000	-3.000000	0.000000
412	1	-9.000000	-2.000000	0.000000
413	1	-9.000000	-1.000000	0.000000
414	1	-9.000000	0.000000	0.000000
415	1	-8.000000	-3.000000	0.000000
416	1	-8.000000	-2.000000	0.000000
417	1	-8.000000	-1.000000	0.000000
418	1	-8.000000	0.000000	0.000000
419	1	-7.000000	-3.000000	0.000000
420	1	-7.000000	-2.000000	0.000000
421	1	-7.000000	-1.000000	0.000000
422	1	-7.000000	0.000000	0.000000
447	1	-6.000000	-3.000000	0.000000
448	1	-6.000000	-2.000000	0.000000
449	1	-6.000000	-1.000000	0.000000
450	1	-6.000000	0.000000	0.000000
451	1	-5.000000	-3.000000	0.000000
452	1	-5.000000	-2.000000	0.000000
453	1	-5.000000	-1.000000	0.000000
454	1	-5.000000	0.000000	0.000000
455	1	-4.000000	-3.000000	0.000000
456	1	-4.000000	-2.000000	0.000000
457	1	-4.000000	-1.000000	0.000000
458	1	-4.000000	0.000000	0.000000
480	1	-3.000000	-3.000000	0.000000
481	1	-3.000000	-2.000000	0.000000
482	1	-3.000000	-1.000000	0.000000
483	1	-3.000000	0.000000	0.000000
484	1	-2.000000	-3.000000	0.000000
485	1	-2.000000	-2.000000	0.000000
486	1	-2.000000	-1.000000	0.000000
487	1	-2.000000	0.000000	0.000000
488	1	-1.000000	-3.000000	0.000000
489	1	-1.000000	-2.000000	0.000000
490	1	-1.000000	-1.000000	0.000000
491	1	-1.000000	0.000000	0.000000
492	1	0.000000	-3.000000	0.000000
493	1	0.000000	-2.000000	0.000000
494	1	0.000000	-1.000000	0.000000
495	1	0.000000	0.000000	0.000000
521	1	1.000000	-3.000000	0.000000
522	1	1.000000	-2.000000	0.000000
523	1	1.000000	-1.000000	0.000000
524	1	1.000000	0.000000	0.000000
525	1	2.000000	-3.000000	0.000000
526	1	2.000000	-2.000000	0.000000
527	1	2.000000	-1.000000	0.000000
528	1	2.000000	0.000000	0.000000
529	1	3.000000	-3.000000	0.000000
530	1	3.000000	-2.000000	0.000000
531	1	3.000000	-1.000000	0.000000
532	1	3.000000	0.000000	0.000000
557	1	4.000000	-3.000000	0.000000
558	1	4.000000	-2.000000	0.000000
559	1	4.000000	-1.000000	0.000000
560	1	4.000000	0.000000	0.000000
561	1	5.000000	-3.000000	0.000000
562	1	5.000000	-2.000000	0.000000
563	1	5.000000	-1.000000	0.000000
564	1	5.000000	0.000000	0.000000
565	1	6.000000	-3.000000	0.000000
566	1	6.000000	-2.000000	0.000000
567	1	6.000000	-1.000000	0.000000
568	1	6.000000	0.000000	0.000000
594	1	7.000000	-3.000000	0.000000
595	1	7.000000	-2.000000	0.000000
596	1	7.000000	-1.000000	0.000000
597	1	7.000000	0.000000	0.000000
598	1	8.000000	-3.000000	0.000000
599	1	8.000000	-2.000000	0.000000
600	1	8.000000	-1.000000	0.000000
601	1	8.000000	0.000000	0.000000
602	1	9.000000	-3.000000	0.000000
603	1	9.000000	-2.000000	0.000000
604	1	9.000000	-1.000000	0.000000
605	1	9.000000	0.000000	0.000000
606	1	10.000000	-3.000000	0.000000
607	1	10.000000	-2.000000	0.000000
608	1	10.000000	-1.000000	0.000000
609	1	10.000000	0.000000	0.000000
631	1	-10.000000	1.000000	0.000000
632	1	-10.000000	2.000000	0.000000
633	1	-10.000000	3.000000	0.000000
634	1	-9.000000	1.000000	0.000000
635	1	-9.000000	2.000000	0.000000
636	1	-9.000000	3.000000	0.000000
637	1	-8.000000	1.000000	0.000000
638	1	-8.000000	2.000000	0.000000
639	1	-8.000000	3.000000	0.000000
640	1	-7.000000	1.000000	0.000000
641	1	-7.000000	2.000000	0.000000
642	1	-7.000000	3.000000	0.000000
668	1	-6.000000	1.000000	0.000000
669	1	-6.000000	2.000000	0.000000
670	1	-6.000000	3.000000	0.000000
671	1	-5.000000	1.000000	0.000000
672	1	-5.000000	2.000000	0.000000
673	1	-5.000000	3.000000	0.000000
674	1	-4.000000	1.000000	0.000000
675	1	-4.000000	2.000000	0.000000
676	1	-4.000000	3.000000	0.000000
698	1	-3.000000	1.000000	0.000000
699	1	-3.000000	2.000000	0.000000
700	1	-3.000000	3.000000	0.000000
701	1	-2.000000	1.000000	0.000000
702	1	-2.000000	2.000000	0.000000
703	1	-2.000000	3.000000	0.000000
704	1	-1.000000	1.000000	0.000000
705	1	-1.000000	2.000000	0.000000
706	1	-1.000000	3.000000	0.000000
707	1	0.000000	1.000000	0.000000
708	1	0.000000	2.000000	0.000000
709	1	0.000000	3.000000	0.000000
734	1	1.000000	1.000000	0.000000
735	1	1.000000	2.000000	0.000000
736	1	1.000000	3.000000	0.000000
737	1	2.000000	1.000000	0.000000
738	1	2.000000	2.000000	0.000000
739	1	2.000000	3.000000	0.000000
740	1	3.000000	1.000000	0.000000
741	1	3.000000	2.000000	0.000000
742	1	3.000000	3.000000	0.000000
768	1	4.000000	1.000000	0.000000
769	1	4.000000	2.000000	0.000000
770	1	4.000000	3.000000	0.000000
771	1	5.000000	1.000000	0.000000
772	1	5.000000	2.000000	0.000000
773	1	5.000000	3.000000	0.000000
774	1	6.000000	1.000000	0.000000
775	1	6.000000	2.000000	0.000000
776	1	6.000000	3.000000	0.000000
801	1	7.000000	1.000000	0.000000
802	1	7.000000	2.000000	0.000000
803	1	7.000000	3.000000	0.000000
804	1	8.000000	1.000000	0.000000
805	1	8.000000	2.000000	0.000000
806	1	8.000000	3.000000	0.000000
807	1	9.000000	1.000000	0.000000
808	1	9.000000	2.000000	0.000000
809	1	9.000000	3.000000	0.000000
810	1	10.000000	1.000000	0.000000
811	1	10.000000	2.000000	0.000000
812	1	10.000000	3.000000	0.000000
834	1	-10.000000	4.000000	0.000000
835	1	-10.000000	5.000000	0.000000
836	1	-10.000000	6.000000	0.000000
837	1	-9.000000	4.000000	0.000000
838	1	-9.000000	5.000000	0.000000
839	1	-9.000000	6.000000	0.000000
840	1	-8.000000	4.000000	0.000000
841	1	-8.000000	5.000000	0.000000
842	1	-8.000000	6.000000	0.000000
843	1	-7.000000	4.000000	0.000000
844	1	-7.000000	5.000000	0.000000
845	1	-7.000000	6.000000	0.000000
870	1	-6.000000	4.000000	0.000000
871	1	-6.000000	5.000000	0.000000
872	1	-6.000000	6.000000	0.000000
873	1	-5.000000	4.000000	0.000000
874	1	-5.000000	5.000000	0.000000
875	1	-5.000000	6.000000	0.000000
876	1	-4.000000	4.000000	0.000000
877	1	-4.000000	5.000000	0.000000
878	1	-4.000000	6.000000	0.000000
900	1	-3.000000	4.000000	0.000000
901	1	-3.000000	5.000000	0.000000
902	1	-3.000000	6.000000	0.000000
903	1	-2.000000	4.000000	0.000000
904	1	-2.000000	5.000000	0.000000
905	1	-2.000000	6.000000	0.000000
906	1	-1.000000	4.000000	0.000000
907	1	-1.000000	5.000000	0.000000
908	1	-1.000000	6.000000	0.000000
909	1	0.000000	4.000000	0.000000
910	1	0.000000	5.000000	0.000000
911	1	0.000000	6.000000	0.000000
937	1	1.000000	4.000000	0.000000
938	1	1.000000	5.000000	0.000000
939	1	1.000000	6.000000	0.000000
940	1	2.000000	4.000000	0.000000
941	1	2.000000	5.000000	0.000000
942	1	2.000000	6.000000	0.000000
943	1	3.000000	4.000000	0.000000
944	1	3.000000	5.000000	0.000000
945	1	3.000000	6.000000	0.000000
970	1	4.000000	4.000000	0.000000
971	1	4.000000	5.000000	0.000000
972	1	4.000000	6.000000	0.000000
973	1	5.000000	4.000000	0.000000
974	1	5.000000	5.000000	0.000000
975	1	5.000000	6.000000	0.000000
976	1	6.000000	4.000000	0.000000
977	1	6.000000	5.000000	0.000000
978	1	6.000000	6.000000	0.000000
1004	1	7.000000	4.000000	0.000000
1005	1	7.000000	5.000000	0.000000
1006	1	7.000000	6.000000	0.000000
1007	1	8.000000	4.000000	0.000000
1008	1	8.000000	5.000000	0.000000
1009	1	8.000000	6.000000	0.000000
1010	1	9.000000	4.000000	0.000000
1011	1	9.000000	5.000000	0.000000
1012	1	9.000000	6.000000	0.000000
1013	1	10.000000	4.000000	0.000000
1014	1	10.000000	5.000000	0.000000
1015	1	10.000000	6.000000	0.000000
1037	1	-10.000000	7.000000	0.000000
1038	1	-10.000000	8.000000	0.000000
1039	1	-10.000000	9.000000	0.000000
1040	1	-10.000000	10.000000	0.000000
1041	1	-9.000000	7.000000	0.000000
1042	1	-9.000000	8.000000	0.000000
1043	1	-9.000000	9.000000	0.000000
1044	1	-9.000000	10.000000	0.000000
1045	1	-8.000000	7.000000	0.000000
1046	1	-8.000000	8.000000	0.000000
1047	1	-8.000000	9.000000	0.000000
1048	1	-8.000000	10.000000	0.000000
1049	1	-7.000000	7.000000	0.000000
1050	1	-7.000000	8.000000	0.000000
1051	1	-7.000000	9.000000	0.000000
1052	1	-7.000000	10.000000	0.000000
1074	1	-6.000000	7.000000	0.000000
1075	1	-6.000000	8.000000	0.000000
1076	1	-6.000000	9.000000	0.000000
1077	1	-6.000000	10.000000	0.000000
1078	1	-5.000000	7.000000	0.000000
1079	1	-5.000000	8.000000	0.000000
1080	1	-5.000000	9.000000	0.000000
1081	1	-5.000000	10.000000	0.000000
1082	1	-4.000000	7.000000	0.000000
1083	1	-4.000000	8.000000	0.000000
1084	1	-4.000000	9.000000	0.000000
1085	1	-4.000000	10.000000	0.000000
1104	1	-3.000000	7.000000	0.000000
1105	1	-3.000000	8.000000	0.000000
1106	1	-3.000000	9.000000	0.000000
1107	1	-3.000000	10.000000	0.000000
1108	1	-2.000000	7.000000	0.000000
1109	1	-2.000000	8.000000	0.000000
1110	1	-2.000000	9.000000	0.000000
1111	1	-2.000000	10.000000	0.000000
1112	1	-1.000000	7.000000	0.000000
